,Partenaire,Contact partenaire,idPartners
237,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Cambrai),fabrice.lesoeur@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Cambrai)
674,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Douai),fabrice.lesoeur@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Douai)
195,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Lille),alexandre.lherbier@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Lille)
128,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Maubeuge),alexis.dziubek@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Maubeuge)
17,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Tourcoing),sophie.dayez@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Tourcoing)
268,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Valenciennes),alexis.dziubek@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Valenciennes)
12,BANQUE CIC,44DCMPAR@CIC.FR,BANQUECIC
20501,BANQUE CIC ARRAS GAMBETTA,fanny.arschoot@cic.fr,BANQUECICARRASGAMBETTA
212,BANQUE CREDIT AGRICOLE BETHUNE,Raphael.MASSART@ca-norddefrance.fr,BANQUECREDITAGRICOLEBETHUNE
235,BANQUE CREDIT AGRICOLE CAMBRAI,ludovic.coplo@ca-norddefrance.fr,BANQUECREDITAGRICOLECAMBRAI
368,BANQUE CREDIT AGRICOLE DENAIN,maxime.auger@ca-norddefrance.fr,BANQUECREDITAGRICOLEDENAIN
465,BANQUE CREDIT AGRICOLE DOUAI,maxime.auger@ca-norddefrance.fr,BANQUECREDITAGRICOLEDOUAI
87,BANQUE CREDIT AGRICOLE HAZEBROUCK,julien.dentener@ca-norddefrance.fr,BANQUECREDITAGRICOLEHAZEBROUCK
23,BANQUE CREDIT AGRICOLE LAMBERSART,jerome.montagne@ca-norddefrance.fr,BANQUECREDITAGRICOLELAMBERSART
126,BANQUE CREDIT AGRICOLE LENS,Aida.WACQUEZ@ca-norddefrance.fr,BANQUECREDITAGRICOLELENS
193,BANQUE CREDIT AGRICOLE LILLE,jerome.montagne@ca-norddefrance.fr,BANQUECREDITAGRICOLELILLE
157,BANQUE CREDIT AGRICOLE MAUBEUGE,odile.houdre-kouboula@ca-norddefrance.fr,BANQUECREDITAGRICOLEMAUBEUGE
153,BANQUE CREDIT AGRICOLE ROUBAIX,emilien.bouthillier@ca-norddefrance.fr,BANQUECREDITAGRICOLEROUBAIX
98,BANQUE CREDIT AGRICOLE SAINT OMER,pascal.TREUTENAERE@ca-norddefrance.fr,BANQUECREDITAGRICOLESAINTOMER
267,BANQUE CREDIT AGRICOLE VALENCIENNES,Alexandra.SANTAVICCA@ca-norddefrance.fr,BANQUECREDITAGRICOLEVALENCIENNES
11,BANQUE CREDIT AGRICOLE VILLENEUVE D'ASCQ,emilien.bouthillier@ca-norddefrance.fr,BANQUECREDITAGRICOLEVILLENEUVED'ASCQ
145,BANQUE CREDIT AGRICOLE-CENTRE d'AFFAIRES ARTOIS ARRAS,Frederic.CAMUS@ca-norddefrance.fr,BANQUECREDITAGRICOLECENTREd'AFFAIRESARTOISARRAS
127,BANQUE SOCIETE GENERALE,louise.mieze@socgen.com,BANQUESOCIETEGENERALE
76,BDL,hperrin@bdl-valenciennes.fr,BDL
6354,BNP Paribas - Roubaix Tourcoing,mustapha.erraji@bnpparibas.com,BNPParibasRoubaixTourcoing
6769,BUREAU BARBARA,hola@bureaubarbara.com,BUREAUBARBARA
1104,Bob et Simone,audrey@bobetsimone.com,BobetSimone
261,CGM CREATION,gmercier@cgmcreation.fr,CGMCREATION
21009,CHD COLAS,t.salomez@groupechd.fr,CHDCOLAS
119,CHD FIDARTOIS,n.hocq@groupechd.fr,CHDFIDARTOIS
1441,CHORALIS,dorothee.detemmerman@lelibrechoix.fr,CHORALIS
3857,CITRON FRAPPE,contact@citronfrappe.fr,CITRONFRAPPE
201,COACH FINANCE,assurances@coach-finance.com,COACHFINANCE
68,COGEP,gboddaert@cogep.fr,COGEP
21012,COLAS,m.ferlat@areas-agence.fr,COLAS
5839,COMARTOIS,contact@comartois.com,COMARTOIS
177,CTN FRANCE,sfaiz@ctn-france.fr,CTNFRANCE
14558,CWP Assurances MMA,james.wargnez@mma.fr,CWPAssurancesMMA
184,CYGNUS CONSEIL,contact@cygnusconseils.fr,CYGNUSCONSEIL
18454,Cabinet Dugardin Expert-Comptable,,CabinetDugardinExpertComptable
51,Cabinet Expertise Comptable A2B - Delphine Loyseau,d.loyseau@a2b-audit.fr,CabinetExpertiseComptableA2BDelphineLoyseau
4593,Cabinet Expertise Comptable GROSSO - LILLE,sebastien.grosso@cabinet-grosso.fr,CabinetExpertiseComptableGROSSOLILLE
178,Cabinet MdH Avocats,gdhumieres.avocat@gmail.com,CabinetMdHAvocats
152,Cabinet d'expertise comptable Grosso Maubeuge,sebastien.grosso@cabinet-grosso.fr,Cabinetd'expertisecomptableGrossoMaubeuge
17208,Cocoa - île de créativité,nicolas@lagencecocoa.com,Cocoaîledecréativité
67,DILIGENTIA Flandre,omartel@diligentia.fr,DILIGENTIAFlandre
115,Diligentia - MEL,jcleurs@diligentia.fr,DiligentiaMEL
3303,EASI,margaux@cabinet-easi.fr,EASI
140,ECA - Experts Comptables Associés Expertise,pdomont@eca-groupe.com,ECAExpertsComptablesAssociésExpertise
7,ECOBRA,yhannfrancois@ecobra.fr,ECOBRA
388,EYE-S,contact@eye-s.fr,EYES
17084,F Demailly AGIPI,frederic.demailly.a2p@axa.fr,FDemaillyAGIPI
6,FC Expertise,cabinetfcexpertise@gmail.com,FCExpertise
11722,FRANCOIS Expertise comptable,contact@cabinet-francois.com,FRANCOISExpertisecomptable
230,Filodacia,jquevauvillers@filodacia.fr,Filodacia
143,GAN ARRAS,Christophe.duflot@gan.fr,GANARRAS
22,GAN Assurances – Agence Lille Royale,Lille-royale@gan.fr,GANAssurances–AgenceLilleRoyale
606,GENERALI ROBINAND ASSURANCES - AVESNOIS,maubeuge@agence.generali.fr,GENERALIROBINANDASSURANCESAVESNOIS
21,GR Assurances - Generali,Sebastien.largeau@agence.generali.fr,GRAssurancesGenerali
38,GROUPAMA Hazebrouck,alban.depecker@ne-groupama.fr,GROUPAMAHazebrouck
182,GROUPAMA LILLE,edouard.sicart@ne-groupama.fr,GROUPAMALILLE
39,Generali O&D Assurances,cdecourcelle@agence.generali.fr,GeneraliO&DAssurances
49,Graphiste En Baskets,virginie@graphisteenbaskets.com,GraphisteEnBaskets
3,Groupama Assurances - Cambrai,romain.vidal@ne-groupama.fr,GroupamaAssurancesCambrai
45,Groupama Assurances - Denain,rfievet@groupama-ne.fr,GroupamaAssurancesDenain
173,Groupama Lens,jonathan.halupka@ne-groupama.fr,GroupamaLens
20,Groupama Roubaix,paparis@groupama-ne.fr,GroupamaRoubaix
189,Gwen Communication,contact@gwen-communication.fr,GwenCommunication
4574,HMGK,g.kisielak@hmgk.fr,HMGK
20360,HMGK HENIN BEAUMONT,g.kisielak@hmgk.fr,HMGKHENINBEAUMONT
5,HUB'EX,jhubert@hubexpert.fr,HUB'EX
17756,IAP Courtage - Prévoyance et Mutuelle,contact@iap-courtage.com,IAPCourtagePrévoyanceetMutuelle
353,ICONIC Graphic,contact@iconicgraphic.fr,ICONICGraphic
386,Juridis Conseil,stephan.blavier@juridisconseil.fr,JuridisConseil
110,KEOBIZ,r.dohin@keobiz.fr,KEOBIZ
13282,LANDUYT ★ DESIGN  - Agence de communication,speakspokespoken@protonmail.com,LANDUYT★DESIGNAgencedecommunication
6764,LTM Experts Conseils,ltm.expertsconseils@gmail.com,LTMExpertsConseils
5861,La Nageuse - agence de communication,contact@lanageuse.com,LaNageuseagencedecommunication
57,Lamie Mutuelle,Contact-entreprise@lamie-mutuelle.fr,LamieMutuelle
37,Lille-web,bonjour@lille-web.fr,Lilleweb
16095,MAAF,karine.legouge@maaf.fr,MAAF
12567,MAJS WEB AGENCY,contact@majs.fr,MAJSWEBAGENCY
176,MAZARS - ACEA Expert Comptable,audrey.guggino-crenu@mazars.fr,MAZARSACEAExpertComptable
17198,MMA AVESNOIS JD FORT,lydia.dormois@mma.fr,MMAAVESNOISJDFORT
13731,MMA Cabinet Duhamel,cabinet.duhamel59@gmail.com,MMACabinetDuhamel
11310,MMA Flandre Intérieure Benoît Staes,a.maisonneuve@bge-hautsdefrance.fr,MMAFlandreIntérieureBenoîtStaes
4339,MyCompta.Expert,ns@mycompta.expert,MyCompta.Expert
36,NINEWEB,a.douchez@nine-web.fr,NINEWEB
84,NOVASITE,contact@novasite.fr,NOVASITE
1540,Nicolas LEFEBVRE – NL DEV,Nicolas.ap.lefebvre@gmail.com,NicolasLEFEBVRE–NLDEV
4655,PLACE DES EXPERTS Flandre Intérieure,mbourteel@placedesexperts.fr,PLACEDESEXPERTSFlandreIntérieure
33,PM Expertise,philippemeuriot@pmexpertise.fr,PMExpertise
232,PREVOIR,vincent.herman@prevoir.com,PREVOIR
10111,Partenaire test BV,grusondavid@hotmail.com,PartenairetestBV
79,Philia Design,al.philia.design@gmail.com,PhiliaDesign
10497,RELIANCE GESTION,olivier.leboucher@reliancegestion.fr,RELIANCEGESTION
50,SAFIGEC Nord - expertise comptable,jfd@safigec.com,SAFIGECNordexpertisecomptable
366,SAGEX FLANDRE,sabine.charlet@sagexflandre.com,SAGEXFLANDRE
7765,SARL Assureurs Conseil GENERALI,Pierrephilippe.DOREMIEUX@agence.generali.fr,SARLAssureursConseilGENERALI
139,SOCADECC,CHWALOWSKI@comexpert.com,SOCADECC
19058,SOCIETE GENERALE LENS,claire.fanion@socgen.com,SOCIETEGENERALELENS
77,STC Grand Hainaut,vschatteman@cechconseil.com,STCGrandHainaut
60,SUPER JAUNE,Thomas.ruckebusch@superjaune.fr,SUPERJAUNE
205,SWISS LIFE BETHUNE,thomas.lecocq@outlook.fr,SWISSLIFEBETHUNE
130,SeedWeb,contact@seedweb.fr,SeedWeb
1107,Studio Eventive,ml@eventivecreations.com,StudioEventive
32,TERRE D'ENTREPRENEURS,contact@terre-d-entrepreneurs.com,TERRED'ENTREPRENEURS
2967,TRINITY Avocat,alexandre.danel@trinity-avocats.fr,TRINITYAvocat
5847,Thibault Lefebvre - Developpeur web indépendant,thiblt.lefebvre@gmail.com,ThibaultLefebvreDeveloppeurwebindépendant
66,VALOXY Flandre,nwillems@valoxy.fr,VALOXYFlandre
114,VALOXY La Madeleine,bge@valoxy.fr,VALOXYLaMadeleine
83,VIRGINIE HUVELLE WEB DESIGNER,vhuvelle.webdesigner@gmail.com,VIRGINIEHUVELLEWEBDESIGNER
352,VITALYTECH,jc@vitalytech.fr,VITALYTECH
134,Valoxy Denain,aduverger@valoxy.fr,ValoxyDenain
150,Valoxy Maubeuge,tsalomez@valoxy.fr,ValoxyMaubeuge
109,WDN Conseils,jean-luc@wdnconseils.com,WDNConseils
15931,WILD DOG,vanille.wilddog@yahoo.com,WILDDOG
35,groupama - Arras,sligny@groupama-ne.fr,groupamaArras
8,groupama Douai,nadia.lalaoui@ne-groupama.fr,groupamaDouai
13,groupama tourcoing,pierreadrien.paris@ne-groupama.fr,groupamatourcoing
539,weboot,b.leroy@nomorecrash.fr,weboot
